Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Drew Pomeranz*,49.2,203,2.17,3.36,1.067,28.1,7.4,38.9,26.2,3.8,0.9,0.9,,,,MLB
Jackson Jobe,49.0,218,4.22,5.18,1.49,17.9,12.4,42.7,28.0,1.44,0.4,1.3,,,,MLB
Cade Cavalli,48.2,219,4.25,4.53,1.479,18.3,6.8,54.4,15.8,2.67,0.2,1.3,,,,MLB
Luis Morales,48.2,199,3.14,4.68,1.151,21.6,9.0,35.0,32.1,2.39,1.2,1.5,,,,MLB
Ronel Blanco,48.1,199,4.1,4.27,1.179,24.1,10.1,32.8,32.1,2.4,0.7,1.3,,,,MLB
John King*,48.1,222,4.66,5.0,1.634,12.6,6.3,59.4,18.3,2.0,-0.3,1.5,,,,MLB
Mark Leiter Jr.,48.1,219,4.84,3.55,1.531,24.7,7.8,46.5,27.1,3.18,-0.6,0.9,,,,MLB
Justin Wilson*,48.1,207,3.35,2.95,1.407,27.5,9.7,45.3,21.1,2.85,0.3,0.6,,,,MLB
Fernando Cruz,48.0,200,3.56,3.18,1.188,36.0,12.0,38.6,27.7,3.0,0.3,0.9,,,,MLB
Nolan McLean,48.0,188,2.06,2.97,1.042,30.3,8.5,60.2,16.8,3.56,1.8,0.8,,,,MLB
Riley O'Brien,48.0,199,2.06,3.62,1.146,22.6,11.1,53.6,15.2,2.05,1.5,0.4,,,,MLB
Isaac Mattson,47.2,198,2.45,3.66,1.133,22.7,9.6,26.5,32.6,2.37,1.5,0.8,,,,MLB
Lou Trivino,47.2,207,3.97,4.73,1.343,17.9,8.7,32.9,29.5,2.06,0.1,1.1,,,,MLB
Matt Brash,47.1,199,2.47,3.05,1.246,29.1,9.0,52.9,16.5,3.22,1.0,0.8,,,,MLB
Emmanuel Clase,47.1,201,3.23,2.71,1.225,23.4,6.0,46.4,21.7,3.92,0.7,0.4,,,,MLB
David Morgan,47.1,193,2.66,3.71,1.225,25.9,11.9,44.9,21.2,2.17,1.2,0.8,,,,MLB
Bryse Wilson,47.1,224,6.65,6.31,1.817,12.5,8.5,32.8,29.9,1.47,-0.7,2.1,,,,MLB
Connor Brogdon,47.0,199,5.55,5.24,1.34,24.6,9.0,30.3,34.8,2.72,-0.2,2.1,,,,MLB
Trevor Megill,47.0,192,2.49,2.5,1.128,31.3,8.9,38.3,26.1,3.53,1.5,0.6,,,,MLB
Shohei Ohtani,47.0,188,2.87,1.9,1.043,33.0,4.8,41.0,26.5,6.89,1.1,0.6,,,,MLB
Dietrich Enns*,46.1,200,4.08,3.68,1.403,24.5,7.5,39.0,19.1,3.27,0.4,1.2,,,,MLB
Mason Montgomery*,46.0,209,5.67,3.92,1.652,30.1,12.9,41.5,24.6,2.33,-0.9,1.2,,,,MLB
Kaleb Ort,46.0,194,4.89,5.03,1.348,25.3,13.9,41.4,31.9,1.81,-0.1,1.6,,,,MLB
Shelby Miller,46.0,186,2.74,3.44,1.043,29.0,8.1,33.6,29.2,3.6,1.5,1.0,,,,MLB
Steven Cruz,45.2,189,3.74,4.14,1.182,20.1,9.5,38.6,27.3,2.11,0.4,1.0,,,,MLB
Troy Melton,45.2,180,2.76,4.6,1.007,20.0,8.3,43.0,28.9,2.4,1.0,1.4,,,,MLB
Carlos Carrasco,45.2,212,7.09,5.61,1.708,16.0,8.0,34.8,29.8,2.0,-0.8,2.0,,,,MLB
Richard Fitts,45.0,195,5.0,5.8,1.311,20.5,8.2,42.5,27.6,2.5,-0.3,2.2,,,,MLB
Chase Shugart,45.0,181,3.4,4.69,1.111,17.1,9.4,33.3,28.0,1.82,0.7,1.2,,,,MLB
Mason Englert,44.2,185,3.83,3.14,1.209,23.8,5.9,40.6,24.2,4.0,0.3,0.8,,,,MLB
Ben Lively,44.2,178,3.22,4.59,1.187,16.3,8.4,30.6,38.1,1.93,0.8,1.2,,,,MLB
Jonathan Bowlan,44.1,180,3.86,3.97,1.218,25.6,9.4,47.9,24.8,2.71,0.2,1.2,,,,MLB
AJ Smith-Shawver,44.1,192,3.86,3.9,1.421,21.9,10.9,35.2,30.5,2.0,0.4,0.8,,,,MLB
Scott Blewett,44.1,194,5.48,5.48,1.421,18.0,9.3,47.1,28.6,1.94,-0.2,1.8,,,,MLB
Chris Flexen,43.2,178,3.09,5.04,1.145,12.4,6.7,34.7,29.9,1.83,0.4,1.4,,,,MLB
Chad Green,43.2,190,5.56,6.73,1.466,18.4,6.8,33.6,35.0,2.69,-0.5,2.9,,,,MLB
Tanner Houck,43.2,203,8.04,6.16,1.695,15.8,8.4,49.0,21.5,1.88,-1.4,2.1,,,,MLB
Caleb Boushley,43.1,193,6.02,3.85,1.569,21.2,7.3,39.7,20.6,2.93,-1.0,1.0,,,,MLB
Chase Burns,43.1,188,4.57,2.65,1.315,35.6,8.5,35.2,29.5,4.19,0.2,1.0,,,,MLB
Carlos Hernández,43.1,203,6.23,4.2,1.662,19.2,10.8,32.1,33.6,1.77,-0.4,0.8,,,,MLB
Gordon Graceffo,43.0,193,6.28,2.93,1.465,20.7,6.7,45.7,20.3,3.08,-0.8,0.4,,,,MLB
Kyle Hart*,43.0,179,5.86,5.18,1.186,20.7,7.3,30.7,39.4,2.85,-0.4,1.9,,,,MLB
Danny Coulombe*,43.0,176,2.3,3.3,1.163,24.4,10.2,39.1,25.2,2.39,1.4,0.6,,,,MLB
Tim Herrin*,42.2,194,4.85,5.08,1.57,23.2,15.5,40.7,29.2,1.5,-0.2,1.1,,,,MLB
Jordan Romano,42.2,187,8.23,5.39,1.453,25.1,9.1,37.5,31.7,2.76,-1.7,2.1,,,,MLB
Génesis Cabrera*,42.2,187,6.54,6.56,1.5,18.7,9.6,39.4,33.3,1.94,-0.8,2.5,,,,MLB
Elvis Alvarado,42.1,183,3.19,4.32,1.323,27.3,12.0,39.4,30.3,2.27,0.6,1.3,,,,MLB
Landon Knack,42.1,185,4.89,5.71,1.394,22.7,10.3,31.1,32.8,2.21,-0.1,2.1,,,,MLB
Chris Martin,42.1,174,2.98,3.58,1.205,24.7,4.6,43.4,27.9,5.38,-0.1,1.3,,,,MLB
Ryan Rolison*,42.1,193,7.02,6.75,1.772,13.0,10.4,47.3,26.4,1.25,-0.3,2.3,,,,MLB
Trent Thornton,42.1,180,4.68,4.74,1.299,17.8,7.8,43.1,24.6,2.29,-0.1,1.3,,,,MLB
Eric Orze,41.2,178,3.02,4.05,1.368,22.5,10.7,38.8,20.7,2.11,0.6,0.9,,,,MLB
Cole Winn,41.2,162,1.51,3.9,0.96,21.6,10.5,46.2,28.3,2.06,1.1,0.6,,,,MLB
Max Lazar,41.1,170,4.79,4.95,1.282,15.3,7.1,36.4,25.0,2.17,0.3,1.5,,,,MLB
Ryan Pressly,41.1,182,4.35,5.05,1.524,15.4,9.3,51.5,18.7,1.65,-0.6,1.3,,,,MLB
Ryan Thompson,41.1,175,3.92,3.74,1.331,20.6,7.4,49.2,21.0,2.77,0.3,0.9,,,,MLB
Kirby Yates,41.1,178,5.23,4.76,1.331,29.2,9.6,29.6,35.2,3.06,-0.5,2.0,,,,MLB
Kody Funderburk*,41.0,183,3.51,3.36,1.512,21.9,9.8,52.5,21.3,2.22,0.8,0.4,,,,MLB
Shane Bieber,40.1,159,3.57,4.47,1.017,23.3,4.4,49.1,25.4,5.29,0.7,1.8,,,,MLB
Sam Long*,40.1,189,5.36,5.54,1.736,17.5,11.6,40.9,28.0,1.5,-0.7,1.6,,,,MLB
Johan Oviedo,40.1,170,3.57,4.92,1.215,24.7,13.5,31.4,34.3,1.83,0.8,1.3,,,,MLB
Ian Hamilton,40.0,166,4.28,4.39,1.25,25.3,13.3,37.0,28.0,1.91,0.2,1.1,,,,MLB
Seth Halvorsen,39.2,173,4.99,5.2,1.563,20.8,12.1,51.7,22.4,1.71,0.2,1.6,,,,MLB
Kevin Kelly,39.2,171,5.9,5.66,1.361,20.5,5.3,44.1,24.4,3.89,-0.9,2.5,,,,MLB
Michael Kelly,39.2,166,3.18,4.83,1.286,17.5,11.4,41.0,31.6,1.53,0.7,1.1,,,,MLB
Parker Messick*,39.2,165,2.72,2.98,1.311,23.0,3.6,48.8,20.7,6.33,1.2,0.9,,,,MLB
Marcus Stroman,39.0,175,6.23,5.19,1.538,14.9,9.1,47.3,28.2,1.63,-0.3,1.4,,,,MLB
Mick Abel,39.0,174,6.23,5.11,1.513,22.4,9.2,37.3,33.9,2.44,-0.2,1.8,,,,MLB
Paul Blackburn,39.0,175,6.23,4.39,1.513,19.4,6.9,43.8,22.7,2.83,-0.5,1.4,,,,MLB
Anthony DeSclafani,38.2,169,5.12,6.29,1.267,21.3,7.1,42.2,29.3,3.0,-0.1,2.6,,,,MLB
DL Hall*,38.2,155,3.49,3.73,1.06,17.4,11.0,36.9,28.8,1.59,0.6,0.5,,,,MLB
Frankie Montas,38.2,178,6.28,5.33,1.603,18.0,7.9,40.5,28.2,2.29,-0.6,1.9,,,,MLB
Shinnosuke Ogasawara*,38.2,173,6.98,6.16,1.552,17.3,9.8,36.6,33.3,1.76,-0.5,2.1,,,,MLB
Jack Perkins,38.2,161,4.19,4.12,1.164,23.0,11.2,41.3,32.7,2.06,0.5,0.9,,,,MLB
Joey Lucchesi*,38.1,165,3.76,3.97,1.226,18.8,7.3,51.7,20.8,2.58,0.4,0.9,,,,MLB
Ryan Weathers*,38.1,166,3.99,4.6,1.278,22.3,7.2,44.0,33.6,3.08,0.6,1.6,,,,MLB
Kyle Nicolas,38.0,167,4.74,3.95,1.368,20.4,10.8,40.7,26.5,1.89,0.0,0.7,,,,MLB
Lyon Richardson,37.2,172,4.54,4.07,1.54,17.4,12.2,53.8,20.2,1.43,-0.2,0.5,,,,MLB
Brock Stewart,37.2,159,2.63,3.19,1.195,27.7,8.2,36.7,32.7,3.38,1.3,0.7,,,,MLB
Chase Lee,37.1,148,4.1,4.53,1.098,24.3,6.1,35.6,33.7,4.0,0.2,1.7,,,,MLB
Javier Assad,37.0,153,3.65,4.24,1.216,15.0,7.8,46.5,20.2,1.92,0.4,0.7,,,,MLB
Daysbel Hernández,37.0,164,3.41,5.0,1.541,20.1,18.3,43.4,28.3,1.1,0.4,0.7,,,,MLB
Cristian Javier,37.0,157,4.62,3.65,1.27,21.7,9.6,31.8,31.8,2.27,0.1,0.7,,,,MLB
Max Kranick,37.0,148,3.65,3.95,1.054,16.9,3.4,35.6,28.8,5.0,0.4,1.2,,,,MLB
John Curtiss,36.2,141,3.93,4.01,0.927,17.0,3.5,28.6,31.3,4.8,0.4,1.2,,,,MLB
George Soriano,36.2,173,8.35,6.44,1.773,20.8,11.0,44.3,23.5,1.89,-1.0,2.5,,,,MLB
Grant Taylor,36.2,157,4.91,1.42,1.418,34.4,9.6,47.7,17.0,3.6,0.0,0.0,,,,MLB
Roki Sasaki,36.1,161,4.46,5.81,1.431,17.4,13.7,38.9,31.5,1.27,0.3,1.5,,,,MLB
Jake Woodford,36.1,170,6.44,4.26,1.596,13.5,7.6,43.5,22.9,1.77,-0.8,0.7,,,,MLB
Tony Gonsolin,36.0,157,5.0,6.02,1.417,24.2,11.5,38.8,31.6,2.11,0.0,2.3,,,,MLB
Carson Seymour,36.0,156,4.75,6.11,1.389,16.7,8.3,49.1,24.1,2.0,-0.2,2.3,,,,MLB
Yerry De los Santos,35.2,160,3.28,3.44,1.514,17.5,10.6,54.4,11.4,1.65,0.3,0.3,,,,MLB
Kyle Harrison*,35.2,156,4.04,3.72,1.374,24.4,9.0,36.9,26.2,2.71,0.5,1.0,,,,MLB
Spencer Arrighetti,35.1,156,5.35,5.54,1.415,19.9,12.8,37.3,25.5,1.55,0.0,1.5,,,,MLB
Zack Kelly,35.1,152,4.58,3.53,1.33,23.0,7.9,41.2,24.5,2.92,-0.2,0.8,,,,MLB
Dylan Dodd*,35.0,136,3.6,3.79,0.943,22.1,3.7,52.0,24.0,6.0,0.3,1.3,,,,MLB
